publisher,count
Winter on the Farm (My First Little House),1
Harper & Row,1
Treat Enterprises,1
Live Oak Media,1
Virago Press Ltd,1
Morpheus International,1
Globe,1
Berkley Publishing,1
Éditions de L'Olivier,1
Osprey Publishing,1
Hachette Jeunesse,1
Picture Book Studio Ltd,1
Basil Blackwell (Cambridge  MA/Oxford),1
Longman,1
Random house,1
Klincksieck,1
Minnesota Heritage Publishing,1
Penguin Books/Penguin Popular Classics,1
Casa Creacion,1
Critica (Grijalbo Mondadori),1
Blackstone Publishing,1
Open Heaven Publications,1
George Braziller Inc.,1
Taplinger Publ. Company,1
Square One Publishers,1
Ace/SFBC,1
Ace Book,1
Aerie,1
New Millennium Library,1
Library of America (NY),1
Disney Enterprises,1
Dorling Kindersley Children,1
Ediciones Glénat España,1
Dover Publications (NY),1
Lippincott Williams & Wilkins,1
Ullstein Buchverlage GmbH & Co. KG / Ullstein Tas,1
Graphics Press,1
Graphics Press LLC,1
Faber & Faber Limited,1
National Park Service,1
New Press  The,1
Jump At The Sun,1
Northeastern University Press,1
Random House  for Young Readers,1
Egmont Children's Books,1
F & W Publications Inc.,1
Taylor Productions Ltd,1
Thomas Y. Crowell Company,1
Reclam  Ditzingen,1
Boosey & Hawkes Inc,1
Paraglyph Press,1
Macmillan Publishing Company/Collier Books,1
Classic Books,1
rbooks,1
BiblioLife,1
Everyman Library / Overlook Press,1
Pelican Publishing Company,1
Penguin Classics Deluxe Edition,1
Everymans Library,1
Penguin Book Limited,1
Cosmos Books (OH),1
Эксмо,1
Vantage Press,1
Lulu Press,1
Nova Fronteira,1
Bloomsbury Paperbacks,1
Lectorum Publications,1
London : Collins  2004.,1
New York: Random House,1
Hodder Audio,1
Usborne Books,1
Penguin Classic,1
Warner Adult,1
Conari Press,1
Farrar  Strauss & Giroux-3pl,1
Edwin Mellen Press,1
State University of New York Press,1
Cosimo Classics,1
Alfred A. Knopf  Inc.,1
Konemann,1
Villard Books,1
BALLANTINE BOOKS,1
Penguin Books (NYC),1
Spectra/Bantam Books (NYC),1
HarperPrism,1
Night Shade,1
Sunburst,1
Baton Wicks,1
Cybereditions Corp,1
Everyman Paperbacks,1
Disinformation Books,1
Tanglewood,1
Manesse Verlag,1
Challenge Press  Inc./Challcrest Press,1
Heinemann,1
Harvest Books,1
Unwin Paperbacks,1
Pavement Saw Press,1
John Wiley,1
MIT Press (MA),1
SCM Press,1
Paris Press,1
A Harvest Book/Harcourt  Inc.,1
University Of Minnesota Press,1
Haus Publishing,1
The Modern Library New York,1
W.W. Norton & Company  Inc. (NY),1
Pyramid Books,1
Hyperio,1
Jump at the Sun,1
Fourth Estate Ltd,1
Heinemann Drama,1
Del Rey/Ballantine Books,1
Mythopoeic Press,1
Rufus Publications,1
Island Press,1
Sinauer Associates,1
Darton  Longman & Todd,1
Lectorum,1
Townsend Press,1
Penguin Audio UK,1
Bollingen/Princeton University Press (NJ),1
Peripatetic Press,1
Prentice Hall/Simon & Schuster Company (Englewood Cliffs  NJ),1
Ravensburger Buchverlag,1
Alfred A. Knopf Borzoi Books,1
Midnight Ink,1
Orchard,1
Random House Anchor,1
Weiser Books,1
W. W. Norton and Company,1
Phoenix Books/University of Chicago Press (IL),1
Amereon Limited,1
The Putnam & Grosset Group,1
Editorial Juventud,1
Purple House Press,1
Hiperión,1
Arts Publications,1
Plaza & Janes Editores  S.A.,1
Annick Press,1
Metropolitan Books,1
Mills & Boon,1
Wiley (TP),1
Lantern Books,1
Fount,1
HarperSanFrancisco,1
Motorbooks,1
Motorbooks International,1
Faber and Faber & Penguin India,1
Time Life Books,1
Laffont,1
Pocket Books / Simon & Schuster  Inc.,1
Open Court Publishing Company,1
英文漢聲出版股份有限公司,1
Rowohlt Tb.,1
MacMillan Children's Books,1
Sage Publications  Inc,1
Norton and Co.,1
Phoenix Press (UK),1
Paul S. Eriksson,1
Barn Owl Books,1
Dervy,1
Benziger,1
Carroll & Graf,1
Big Finish,1
Deseret Book Company,1
McDougal Littel,1
Circlet Press,1
FASA Corporation,1
Limitless Corporation,1
French & European Pubns,1
Harlequin Anthologies,1
Fodor's,1
Anchor Books/Knopf Doubleday Publishing Group,1
Nelson Thornes Ltd,1
American Diabetes Association,1
G. P. Putnam's Sons,1
Providence Forum Press,1
Regnery History,1
Penguin Books /Penguin Classics,1
Doubleday Publishing (NY),1
City Lights,1
Ecco / HarperCollins,1
Del Rey Ballantine Random House,1
Volo,1
T&T Clark Int'l,1
Chartwell Books,1
Chu Hartley Publishers LLC,1
The Berkley Publishing Group,1
Zondervan Publishing House,1
Stenhouse Publishers,1
Tin House Magazine,1
New Directions Publishing,1
EMC/Paradigm Publishing,1
Clarity Press,1
Steerforth Press,1
Vision Forum,1
Barbour Books,1
Limelight,1
Nova Audio Books,1
Sunstone Press,1
Avon Books (AvoNova),1
Audio Literature,1
RH Audio Price-less,1
Orchard Books (NY),1
Avalon Travel,1
Chelsea House Publishers,1
Steidl,1
The New York Review Children's Collection,1
Maxima New Media,1
Peter Owen Ltd,1
DAW Hardcover,1
Abraham Guillen Press,1
Hawthorne Books,1
Marshall Cavendish Editions,1
Puzzle-Via Magna,1
Hyperion Paperbacks,1
Teacher's Pet Publications,1
Advantage World Press,1
Ediciones Urano,1
Huntington House Publishers,1
dtv,1
CDS Books,1
Harcourt  Brace  Jovanovich,1
Everyman Paperback Classics,1
Jane Nissen Books,1
Omohundro Institute and University of North Carolina Press,1
French & European Publications,1
1st World Library,1
Hackett Publishing Company,1
Del Rey Books (NY),1
La factoría de ideas,1
Monolith Graphics,1
Akashic Books/Punk Planet Books,1
The Disinformation Company (NYC),1
Sticker Design (DC Comics),1
Crown Journeys/Crown Publishers/Crown Publishing Group/Random House,1
Simon Publications,1
North Star Publications (MA),1
Oberlin College Press,1
Sterling Children's Books,1
Interlink Publishing Group,1
Brookline Books,1
Bastei Lübbe,1
William Morrow & Company  Inc.,1
Firelight Press,1
Sierra Club Books,1
Edicións Xerais de Galicia  S.A.,1
Fontana Press,1
Heinle,1
CMX,1
University of Alaska Press,1
小学館 [Shōgakukan],1
List Taschenbuch,1
Contemporary French Fiction,1
St. Martin's Minotaur,1
Peerage Books,1
Grafton,1
Birlinn,1
Academy Chicago Publishers,1
Courage Books,1
Nicholas Brealey,1
Benjamin Cummings,1
Wiley Publishing  Inc.,1
Devil's Due Publishing,1
Droemer Knaur,1
Pimsleur,1
Thomas Dunne Books,1
The Liffey Press,1
History Press Ltd,1
Delacorte Books,1
French & European,1
Island,1
Pearson Longman,1
Running Press Kids,1
Random House: Modern Library,1
De Boekerij,1
Plume (Penguin Books Ltd),1
Delta Publishing,1
Park Street Press,1
The Crossroad Publishing Company,1
Harper Perennial Classics,1
Paul Mellon Centre BA,1
Record,1
Círculo de Lectores,1
Plaza & Janés,1
Macmillan Publ. Co.,1
River City Publishing,1
Material World,1
Scholastic Inc,1
Gamble Guides,1
Apple Paperbacks (Scholastic),1
Fithian Press,1
Crown Business,1
Tusquets,1
Urion Press,1
Morgan Road Books,1
Points,1
Seuil,1
Semiotext(e),1
Re/Search Publications,1
Checkmark Books,1
Harper Audio,1
Doubleday & Company  Inc.,1
Collectors Library,1
Johnson Publishing Company (IL),1
Harper Perennial (NYC),1
Collection of Historical Scientific Instruments,1
Children's Press(CT),1
Time-Life Books  Inc.,1
Harpercollins,1
Zebra Books,1
Hippo/Scholastic,1
Nonsuch Publishing,1
Alderac Entertainment Group (AEG),1
Montlake Romance,1
HarperPerennial / Perennial Classics,1
Anchor Canada,1
Norma,1
Child's Play International,1
Tougher Disguises,1
Warner Vision,1
University of South Carolina Press,1
Pineapple Press,1
Time Warner Books UK,1
HarperLargePrint,1
Young Picador,1
Simon & Schuster Simon Pulse,1
Harper Teen,1
Laurel Leaf Books,1
Gale Cengage,1
Schwartz & Wade Books,1
New Page Books,1
Adamant Media Corporation,1
Neil Wilson Publishing,1
Larousse Kingfisher Chambers,1
Edebé,1
Picador  Macmillan Publishers Ltd,1
Geddes & Grosset,1
PerfectBound (HarperCollins),1
Five Star Trade,1
Blue Sky Press,1
Editions de l'Olivier,1
Ash Tree Publishing,1
Watson-Guptill,1
Perennial,1
Bantam Doubleday Dell Publishing Company Inc.,1
Puffin Books (Penguin Books),1
Aurum,1
Quinteto,1
HarperCollins UK,1
Zeta Bolsillo,1
American University in Cairo Press,1
Bloomsbury UK,1
Ronin Publishing (CA),1
DeVorss & Company,1
Newmarket,1
Regal Books,1
Destiny Books,1
Y Lolfa,1
Vida,1
Bertrand,1
New Harbinger Publications,1
McGraw-Hill/Glencoe,1
Taplinger Publishing,1
Rivages,1
Cold Spring Harbor Laboratory Press,1
AHA! Process,1
Fourth Estate Paperbacks,1
Dominion Press,1
Yale University Press (New Haven  CT),1
FT Press,1
Changeling Press,1
Cherry Lane Music Company,1
Routledge Taylor & Francis Books Ltd imprint,1
LSU Press,1
Hci,1
Plexus Publishing Ltd,1
Beacon Press (Boston),1
HarperTorch (an imprint of HarperCollins Publishers),1
Headline Book Pub Ltd,1
Longman Schools Division (a Pearson Education Company),1
Penguin Books (NY),1
Alison Green Books,1
Routledge/Taylor & Francis Ltd.,1
Hodder & Stoughton Educational Division,1
Alderac Entertainment Group,1
Nelson Current,1
Franklin Watts,1
Patmos,1
University of Notre Dame Press,1
Image,1
Sophia Institute Press,1
Arlington House,1
Catholic Book Publishing,1
Bantam Doubleday Dell (NYC),1
Penguin Books USA Inc.,1
Vintage/Ebury (A Division of Random House Group),1
Polyface,1
Penguin Books in association with Faber & Faber,1
MacMillan UK,1
Orion Children's Books,1
Enitharmon Press,1
Heinemann-Octopus,1
Penguin Classics Deluxe Editions,1
Granta,1
Fleming H. Revell Company,1
Motilal Banarsidass,1
Pharos Books,1
Rider,1
Island Books,1
KiWi,1
Findakly,1
Random House (Vintage),1
Knopf Doubleday Publishing Group,1
Sentient Publications,1
Starfire,1
Bantam Starfire,1
Dell Laurel-Leaf,1
International Publishers,1
Merlin Publishing,1
Harlequin Superromance,1
Liveright/W.W. Norton & Company  Inc.,1
Pfeiffer & Company,1
Addison Wesley,1
F. Meiner,1
Learning Matters,1
Webster's New World,1
Gallopade International,1
Harvest Books/Harcourt,1
Loeb Classical Library 443,1
Mira books,1
Doubleday Canada,1
William Morrow & Company (NYC),1
Tin House Books,1
Inner Light - Global Communications,1
Worth Publishers,1
Tokyopop,1
Hodder and Stoughton,1
Time-Life Books,1
Abradale Books/Harry N. Abrams,1
Prentice Hall PTR,1
Our Daily Bread Publishing,1
Avery,1
Center Point,1
Pluto Press,1
Liveright Publishing Corp.,1
Liveright,1
Viking UK,1
Farrar  Straus and Giroux (BYR),1
Puzzle-Roca,1
Hal Leonard Pub Corp,1
Harvest / Harcourt,1
Kregel Publications,1
K.G. Saur Verlag,1
Harvard University Press (Cambridge  MA)/Wm Heinemann Ltd. (London),1
Grijalbo Mondadori Sa,1
NAL Jam,1
Peter Owen Publishers,1
Penguin Books Ltd. (London),1
Sky Books (NY),1
Hackett Publishing Company  Inc. (USA),1
Loeb Classical Library 307,1
Broadway/Crown Publishing Group,1
Alcoholics Anonymous World Services Inc,1
Encounter Books,1
Basic Books (AZ),1
Festival,1
Children's Classics,1
Waveland Press,1
Ohio State University Press,1
Hackett Publishing Company (Indianapolis  IN),1
HarperCollins (SanFrancisco),1
Gollehon Books,1
Dedalus,1
Churchill Livingstone,1
Dartmouth College Press,1
Skylight Paths Publishing,1
Alianza Editorial,1
Editions Gallimard,1
Arcade Publishing,1
Edaf S.A.,1
Porrua,1
Laurel Press,1
Verba Mundi,1
Stonewall Inn Editions,1
Onyx Books,1
The Chicken House,1
Chicken House / Scholastic,1
Rebel Press,1
Bureau of Public Secrets,1
Penguin Books (London),1
Loyola Press (Chicago),1
Insel  Frankfurt,1
Overeaters Anonymous  Incorporated,1
AA World Services,1
Literatura Random House,1
Dante University of America Press,1
Collier Books,1
Fischer (Tb.),1
DAW Fantasy,1
HarperVoyager,1
Backstage Books,1
New Falcon Publications,1
Simon & Schuster Aladddin Paperbacks,1
Nantier Beall Minoustchine Publishing,1
ComicsLit,1
David C Cook,1
The Modern Library,1
Council Press,1
Diogenes,1
National Gallery London,1
Sutton Publishing,1
Lama Foundation (San Cristobal  NM),1
Sensory Resources,1
TSR Inc./Wizards of the Coast,1
The Bodley Head Ltd,1
New York Review Children's Collection,1
Greenery Press (CA),1
Collins,1
Mel Bay Publications  Inc.,1
Vanderbilt University Press,1
Van Patten Publishing,1
Pomegranate Communications,1
Sasquatch Books,1
McGraw-Hill Science/Engineering/Math,1
William Morrow / HarperCollins / Harper Perennial,1
Mirrorstone,1
Orion Publishing Group  Ltd.,1
Lawrence Hill Books,1
l'ecole des loisirs,1
Kregel Academic & Professional,1
Vintage Books/Vintage Classics,1
New World Publishing,1
Four Walls Eight Windows Press,1
Collins Publishers,1
Panther,1
Eraserhead Press,1
Dover Publications (NYC),1
Loose Id  LLC,1
One World/Ballantine,1
Gotham,1
Grove Press  Black Cat,1
Ace Hardcover,1
Shaw Books,1
Cornerstone Press Chicago,1
Owl Publishing Company,1
A K PETERS,1
Abacus Books (London),1
Beckett Media,1
Mongoose Publishing,1
Broadway,1
Vince Emery Productions,1
Peter Smith Publisher  Inc.,1
Octopus Books (London),1
Temenos Press,1
McFarland & Company,1
Sidgwick & Jackson Ltd,1
Arrow Books Ltd,1
Manchester University Press,1
Bedford/St. Martin's,1
Cisne,1
Loveswept,1
Blanvalet Verlag GmbH,1
Mira (Mills and Boon),1
Gramedia Pustaka Utama,1
Bantam (Fanfare),1
McGraw-Hill Medical Publishing,1
Salani,1
Harpercollins Childrens Books,1
Rockport Publishers,1
Prima Lifestyles,1
Teachers College Press,1
Roxford Books,1
Shaw,1
Simon & Schuster Children's Publishing,1
Servant Publications,1
House of Anansi Press,1
Alfabeta Bokförlag,1
Red Hen Pr,1
Arkana,1
YoungJin Singapore Pte. Ltd.,1
Intercultural Publishing,1
Bloomsbury / Continuum,1
Praeger,1
Disney Editions,1
Shepard Publications,1
Ivan R. Dee,1
Ivan R. Dee  Publisher,1
Allworth,1
Knowledge Products,1
International Publishers (NYC),1
Rupa & Co,1
Vacation Work Publications,1
Inner City Books,1
Seal Press,1
Pygmalion Editions,1
1st Book Library,1
Grove Weidenfeld,1
New Press (NY),1
Grupo Editorial Norma  S.A.,1
Cátedra,1
Vivendi,1
Pocket Books/Star Trek,1
Museum of Modern Art,1
Loyola Classics,1
WaterBrook,1
Urban Books,1
Dell Yearling,1
Simple Productions,1
Amadeus,1
Simon & Schuster Paperbacks,1
Penguin Books (Penguin Classics),1
Reclam,1
Editorial Diana,1
Reclam  Leipzig,1
Little Apple,1
Distribooks,1
Audio Renaissance,1
Arsenal Pulp Press,1
Wordsworth Classics,1
Wyatt Book,1
Schirmer Mosel,1
Alfred A.Knopf,1
Mestas Ediciones,1
Harbor Press,1
Green Ronin Publishing,1
Portable Press,1
P & R Publishing,1
University of Pittsburgh Press,1
Bantem Press,1
Specialty Press,1
Boston Common Press,1
Book Publishing Company,1
Book Publishing Company (TN),1
Felony & Mayhem,1
Vintage/Ebury,1
Penguin/Viking Compass (Non-Classics),1
Two Lions,1
Peter Smith Publisher,1
Liguori Publications,1
Prentice Hall/Scribner/Macmillan,1
Rowohlt,1
Feminist Press,1
Sholom Aleichem Family Publications,1
Martínez Roca,1
Plaza & Janés Editores  S.A.,1
Wesleyan University Press,1
Ig Publishing,1
Condor Books,1
Sun & Moon Press,1
W.W. Norton & Company (NY/London),1
Headline Feature,1
William Heinemann Ltd.,1
Riverrun Press (New York  NY),1
Piemme,1
Batsford,1
Copernicus Books,1
BBC Worldwide,1
Vintage Crime,1
Arthur A. Levine,1
Harcourt  Brace Jovanovich/Harvest,1
Random House Para Ninos,1
Billboard Books,1
Crossing Press,1
South End Press,1
Puffin Group,1
Health Communications,1
Shaye Areheart Books,1
Helen Marx Books,1
Evans Brothers,1
Aegypan,1
Cruithne Press,1
Poorhouse Press,1
Granta Books,1
Perennial / William Morrow / HarperCollins,1
Futura,1
Longmeadow Press,1
Ecco/Harper Perennial,1
Travelers' Tales,1
Dragon Door Publications,1
Cedar Books,1
Prestwick House,1
Cambridge University Press/The New Cambridge Shakespeare,1
Greenwood,1
Arléa,1
Jones Books,1
Grand Central Life & Style,1
Alliance Publishing,1
Egmont Books Ltd,1
Spark Publishing,1
Mountaineers Books,1
Farrar  Straus and Giroux (NY),1
W.W. Norton & Company (NY),1
Modern Language Association of America,1
Orion (an Imprint of The Orion Publishing Group Ltd ),1
Project Management Institute,1
Barrington Stoke,1
Serpents Tail,1
Ullstein,1
Goldmann Verlag,1
HQN Books,1
Claassen Verlag,1
Grupo Océano,1
Viking Penguin Inc.,1
L.A. Weekly Books,1
Science Fiction Book Club,1
Hartorch,1
Leete's Island Books,1
Gaia Books,1
The Orion Publishing Group Ltd,1
Henry Holt and Co.,1
Krause Publications,1
Readers Digest,1
Reader's Digest Association,1
Readers Digest.,1
Inner Traditions International,1
Mikaya Press,1
Dutton Adult,1
Geoplaneta,1
Libraries Unlimited,1
Library of Liberal Arts/Bobb-Merrill (Indianapolis  IN),1
Pearson Education,1
Thomas Publications (PA),1
Fandemonium Books,1
Sterling Publishing Co.  Inc.,1
Management Books 2000,1
Bragelonne,1
Orbit Books,1
Union Square Press,1
Brown Son & Ferguson Ltd.,1
Fontana Books,1
Focus on the Family Publishing,1
Civitas Books,1
Burford Books,1
Praeger Publishers,1
Wasendorf & Associates Inc,1
MJF Books,1
HarperResource,1
Four Ninety-Eight Productions,1
World Wrestling Entertainment Books,1
Lucas Books,1
Berkley Books (NY),1
Self-Realization Fellowship Publishers,1
Limelight Editions,1
Modern Publishing,1
Kaplan Publishing,1
Contemporary Books,1
Random House Large Print Publishing,1
HarperCollins Perennial,1
Pantheon Books (NY),1
Owl Books (Henry Holt),1
AIT Planet Lar,1
Love Inspired,1
British Academy,1
Malhavoc Press,1
Harcourt Children's Books,1
Fantasy Flight Games,1
Penguin Young Readers,1
FASA Corp.,1
Harcourt Brace Jovanovich (NY),1
Aris & Phillips,1
Vintage/Random House Inc. (NYC),1
Watkins,1
Academic Press,1
Titan,1
Deodand Publishing,1
Tom Doherty Associates/Orb Books,1
Signet Books (NY),1
Prestwick House - (Literary Touchstone Classic),1
Bryn Mawr Commentaries,1
Nonpareil Books,1
Avon HarperCollins,1
Fab Press,1
Sumach Press,1
B Fiction,1
Random House Puzzles & Games,1
Libros para ninos,1
Universal Publishers,1
Hazelden Publishing,1
Pippin Publishing,1
Crossroad Publishing Company,1
Woodrow Wilson Center Press / Johns Hopkins University Press,1
University Press of New England,1
Macmillan Children's Books,1
Ash-Tree Press,1
Hearst Communications,1
Middleway Press,1
Pan Macmillan Ltd. (London),1
Welcome Books,1
Feiwel & Friends,1
Dtv,1
Bruno Gmünder,1
Elloras Cave,1
Berkley Heat,1
Sage Publications Ltd,1
Kuperard,1
Polygon,1
Loeb Classical Library/Harvard University Press,1
Focus Publishing/R. Pullins Company,1
Everyman's Library 234,1
St. Augustines Press,1
Stackpole Books,1
Continuum,1
Penguin (Business),1
Crown Publishing Group,1
Reaktion Books,1
Fellowship for the Performance,1
Fawcett Coventry,1
Walter Foster Publishing,1
Portfolio,1
Scholastic Nonfiction,1
Xulon Press,1
Piper Taschenbuch,1
Yosemite Conservancy,1
Pan Childrens,1
ECW Press,1
Vertigo (DC Comics),1
Parker Publishing Llc,1
Random House Reference Publishing,1
Vintage Books a division of Random House,1
South End Press (Boston),1
ビブロス,1
Harcourt Brace & Company,1
Walter de Gruyter,1
Random House Inc.,1
Let's Go Publications,1
Power Press,1
Hodder Mobius,1
University of Texas Press (Austin/London),1
House of Stratus,1
Atelos Press,1
Apple,1
St. Martin's Paperback,1
National Geographic Children's Books,1
Harrison House,1
Yoruba Theological Archministry,1
Insight International,1
Clarkson Potter/Publishers,1
Better Homes and Gardens Books,1
Pan Australia,1
Samhain Publishing,1
Woodbridge Press Publishing Company,1
University of New Mexico Press,1
Academica Press,1
Jessica Kingsley Publishers,1
Smithsonian Books,1
Editorial RM,1
Prentice Hall Press,1
Mariner Books / Harvest Books,1
Ryland Peters & Small,1
High Point Media,1
Éditions 10/18,1
Vendome Press,1
Saddleback Educational Publishing  Inc.,1
Polychrome Publishing Corporation,1
Texas A&M University Press,1
Eros Comix,1
Gun Digest Books,1
Leisure,1
Universe Publishing(NY),1
Berkley Prime Crime,1
Berkley Prime Crime Books,1
Rux Martin/Houghton Mifflin Harcourt,1
Meredith Corporation,1
Broadway Business,1
CRC Press,1
Paperback Library,1
Underwood/Miller  Berkley,1
British Library,1
Aivia Press,1
Redleaf Press,1
Faber & Faber Ltd.,1
Howard University Press,1
New Tradition Books,1
Alpha Books,1
Harcourt Brace & company,1
Doherty  Tom Associates  LLC,1
Legend,1
San Val,1
Exact Change,1
Simon & Schuster Adult Publishing Group,1
Michael Joseph Ltd./Penguin Books Ltd.,1
New York : Penguin Books,1
Council Oak Books,1
Trafalgar Square Publishing,1
Southern Methodist University Press,1
Voice,1
Orion Publishing Co,1
Dramatists Play Service  Inc.,1
Crown Publishers,1
DAW SF,1
DAW Books (NY),1
BenBella Books,1
Wipf & Stock Publishers,1
Westview Press,1
Sagebrush,1
Oddysey/Harcourt Young Classics,1
Twayne Publishers,1
Applause Theatre & Cinema Book Publishers,1
Pogue Press,1
Yapı Kredi Yayınları,1
Dhv der Hörverlag,1
Michael O'Mara Books,1
Avon Books (P),1
Fawcett crest,1
CQ Press,1
Northwestern Univ Press,1
See Sharp Press,1
Versus Press,1
Beltz und Gelberg,1
Raintree,1
Secker and Warburg,1
Fischer Taschenbuch Verlag,1
Bantam Books  Inc.,1
Pen & Sword Military,1
Atlantic Monthly Press (NYC),1
Replica Books,1
The Audio Partners,1
US Naval Institute Press,1
Presidio Press,1
Harlequin American Romance,1
University of Arizona Press,1
Twin Palms Publishers,1
Victor Gollancz,1
P. F. Collier and Sons,1
Simon & Schuster; Media Tie-In edition,1
Lions,1
Penguin Putnam,1
Harper Design,1
First Avenue Editions (Tm),1
HarperPaperbacks,1
Alan Rodgers Books,1
Sarah Crichton Books,1
Morrow,1
Hachette Children's,1
Fawcett Crest,1
Rba Libros,1
W Publishing Group,1
David C. Cook,1
Xlibris Corporation,1
Greenwood Press,1
Fischer TB,1
Omnibus Hc Bei Bertelsmann,1
Byblos,1
TEA,1
Silhouette Bombshell,1
Diamond/Charter,1
Fantagraphics Books,1
Bloomsbury USA Childrens,1
Melodrama Publishing,1
Hamish hamilton,1
Hill & Wang Publ. (NY),1
Lone Oak Press,1
Atlas Books/HarperCollins Publishers,1
Grand Central,1
Harlequin Readers' Choice,1
Sidran Press,1
That Patchwork Place,1
Transworld Publishers Ltd,1
Nimble Books,1
Hamish Hamilton Ltd,1
Puffin Audiobooks,1
Festival Books,1
Birlinn Ltd,1
InterVarsity Press,1
Joanna Cotler Books/HarperCollinsPublishers,1
Rosenberg Publishing,1
Modern Library (NY),1
Do-Not Press,1
Abacus Books,1
Acento Editorial,1
Hub City Press,1
Presses de La Cite,1
US Green Building Council,1
Pan Books,1
Corgi Books (Adult),1
Grijalbo,1
Absolute Press,1
Robson Books  London,1
Pegasus Books,1
Prestel Publishing,1
William Heinemann,1
Cartago,1
Between the Lines Productions,1
Godsfield Press Ltd,1
RP Minis,1
Five Star (ME),1
Aurum Press,1
No Starch Press,1
School Specialty Publishing,1
Atheneum Books for Young Readers: Richard Jackson Books,1
