publisher,count
McGraw-Hill Education,8
It Books,8
Laurel Leaf,8
Villard,8
Jossey-Bass,8
Johns Hopkins University Press,8
Everyman,8
Wiley-Blackwell,7
Lonely Planet,7
Price Stern Sloan,7
Northwestern University Press,7
Macmillan Audio,7
Jonathan Cape,7
Warne,7
Clarkson Potter,7
Belknap Press,7
DeBolsillo,7
Gollancz,7
Crown,7
Hodder & Stoughton,7
Caedmon,7
Blu,7
Tarcherperigee,7
Viking Adult,7
Simon & Schuster Childrens Books,7
Pinnacle,7
Dramatists Play Service,7
Silhouette Books,7
Speak,7
Chicago Review Press,7
Simon  Schuster Books for Young Readers,7
Atheneum Books for Young Readers,7
Wildside Press,7
Jove Books,7
Harlequin,7
DK Publishing (Dorling Kindersley),7
Scholastic Press,7
Dark Horse Comics,7
Orchard Books,7
Indiana University Press,7
Anagrama,7
Marvel Comics Group,7
Workman Publishing Company,7
Longman Publishing Group,7
Palgrave Macmillan,7
Baen Books,7
Hay House,7
Touchstone Books,7
Voyager,6
New Directions Publishing Corporation,6
HarperCollins Publishers Ltd,6
William Morrow & Company,6
講談社,6
Kingfisher,6
University of Pennsylvania Press,6
Holt McDougal,6
Moody Publishers,6
Cengage Learning,6
North Point Press,6
Recorded Books  Inc.,6
New York Review of Books,6
Bison Books,6
Bloomsbury Methuen Drama,6
Hill and Wang,6
Rodale Books,6
Gold Eagle,6
Red Dress Ink,6
Prometheus Books,6
British Film Institute,6
City Lights Publishers,6
Books on Tape,6
Abacus,6
Silhouette,6
Knopf Books for Young Readers,6
Berkley Publishing Group,6
Applewood Books,6
Tantor Media,6
Phoenix,6
Dutton,6
Three Rivers Press (CA),6
Holt Paperbacks,6
Seven Stories Press,6
Barnes & Noble,6
Digireads.com,6
Rayo,6
Random House (NY),6
David R. Godine Publisher,6
Chelsea House Publications,6
McGraw-Hill Companies,6
Editorial Presença,6
Square Fish,6
Random House for Young Readers,5
Starscape,5
Theatre Communications Group,5
Aspect,5
Forge Books,5
Rough Guides,5
American Girl Publishing Inc,5
Digital Manga Publishing / Dark Horse,5
Moyer Bell and its subsidiaries,5
Delacorte Books for Young Readers,5
Eos,5
Prima Games,5
Denoël,5
Serpent's Tail,5
Carroll & Graf Publishers,5
Gramercy,5
Plaza y Janés,5
Loeb Classical Library,5
Bristol Classical Press,5
Arrow Books,5
Newmarket Press,5
Alfred A. Knopf Books for Young Readers,5
HarperEntertainment,5
Cavendish Square Publishing,5
ガンガンコミックス,5
Lübbe,5
No Exit Press,5
Vermilion,5
DAW Books Inc,5
Penguin Books  Limited (UK),5
Barrons Educational Series,5
Addison Wesley Publishing Company,5
Springer,5
BBC Physical Audio,5
Cemetery Dance Publications,5
University of Michigan Press,5
Push,5
Alfaguara,5
Paul Dry Books,5
Broadview Press Inc,5
Dutton Books,5
Algonquin Books,5
Dark Horse,5
National Geographic Society,5
