authors,count
Nick Flynn,2
Colson Whitehead,2
Terry Deary,2
Richard   Preston,2
Ann Packer,2
Celeste Bradley,2
Matthew Kneale,2
Witold Gombrowicz/Danuta Borchardt,2
Karen Cushman,2
J.R.R. Tolkien/托爾金/Alan  Lee/朱學恆,2
J.R.R. Tolkien/Francis Ledoux,2
Art Spiegelman,2
Howard Zinn/Kathy Emery/Ellen Gordon Reeves,2
A.B. Yehoshua/Hillel Halkin,2
Virginia Lee Burton,2
Virgil/David Ferry,2
John Hersey,2
Raymond Queneau/Barbara Wright,2
Émile Zola/Roger Pearson,2
Paul Theroux,2
Geoffrey Chaucer/Nevill Coghill,2
Kaye Gibbons,2
Audrey Niffenegger,2
James Fenimore Cooper/Blake Nevius,2
Donald J. Sobol/Warren Chang,2
Alan Lightman,2
Jean Rabe,2
Cornelia Funke/Anthea Bell,2
Mircea Eliade/Willard R. Trask,2
David Sedaris/Amy Sedaris,2
Bernard Cornwell,2
Tony Horwitz,2
Takashi Hashiguchi/橋口 たかし,2
George Crile,2
Harper Lee,2
Antony Beevor,2
Marcia Angell,2
Philip K. Dick/John Brunner,2
Naomi Novik,2
Jon Kabat-Zinn,2
David H. Chilton,2
John F. MacArthur Jr.,2
Stanisław Lem/Louis Iribarne,2
William Jefferies/Jeffery Deaver,2
